"","old.salaries","new.salaries","raise","got.raise"
"Employee  1",10274.6291575022,21899.3614031933,11624.7322456911,TRUE
"Employee  2",15610.0805010647,20536.6919888183,4926.61148775369,TRUE
"Employee  3",15814.103060402,18821.2261069566,3007.12304655463,TRUE
"Employee  4",18843.1912707165,20130.9911883436,1287.79991762713,TRUE
"Employee  5",15460.1975926198,16897.8985818103,1437.70098919049,TRUE
"Employee  6",18930.7300839573,20929.2918955907,1998.56181163341,TRUE
"Employee  7",13760.0690312684,16561.4162012935,2801.34717002511,TRUE
"Employee  8",12494.1850570031,19234.4808531925,6740.29579618946,TRUE
"Employee  9",15123.223522678,17530.7460594922,2407.52253681421,TRUE
"Employee  10",16431.9550455548,15667.4837158062,-764.471329748631,FALSE
"Employee  11",10109.988427721,22960.0549512543,12850.0665235333,TRUE
"Employee  12",10114.7421402857,15913.4255070239,5798.68336673826,TRUE
"Employee  13",13213.9614503831,21850.1761462539,8636.21469587088,TRUE
"Employee  14",19148.9877342246,15467.7864839323,-3681.20125029236,FALSE
"Employee  15",15312.2618095949,21864.2670079134,6552.00519831851,TRUE
"Employee  16",17267.294623889,17237.7617517486,-29.5328721404076,FALSE
"Employee  17",18004.9448204227,22199.482913129,4194.53809270635,TRUE
"Employee  18",13353.4223400056,23551.60941137,10198.1870713644,TRUE
"Employee  19",19405.1046250388,18145.1669498347,-1259.93767520413,FALSE
"Employee  20",15305.8738750406,21860.2190818638,6554.3452068232,TRUE
"Employee  21",13540.9622406587,16070.932908915,2529.97066825628,TRUE
"Employee  22",15274.3473369628,19288.0738363601,4013.72649939731,TRUE
"Employee  23",15765.0545844808,24615.2909263037,8850.23634182289,TRUE
"Employee  24",16884.6473423764,24488.0397431552,7603.39240077883,TRUE
"Employee  25",12358.3089071326,18652.7013755403,6294.39246840775,TRUE
"Employee  26",17274.7954213992,15136.831284035,-2137.96413736418,FALSE
"Employee  27",18877.0366413519,20278.5263513215,1401.48970996961,TRUE
"Employee  28",11831.4121104777,18361.2101315521,6529.79802107438,TRUE
"Employee  29",18699.2502491921,24822.0983101055,6122.84806091338,TRUE
"Employee  30",12813.6091399938,23000.0156862661,10186.4065462723,TRUE
"Employee  31",18371.5959079564,19891.7734366842,1520.1775287278,TRUE
"Employee  32",16624.0353952162,15477.6674881577,-1146.36790705845,FALSE
"Employee  33",19334.3892251141,15304.5278578065,-4029.8613673076,FALSE
"Employee  34",16915.4743012041,20021.7028427869,3106.22854158282,TRUE
"Employee  35",10059.6825545654,18596.823445987,8537.14089142159,TRUE
"Employee  36",14173.4495945275,15318.5055055656,1145.05591103807,TRUE
"Employee  37",11743.5871623456,23086.8477188051,11343.2605564594,TRUE
"Employee  38",14905.6296469644,22086.9478466921,7181.31819972768,TRUE
"Employee  39",16119.784465991,21551.3275749981,5431.54310900718,TRUE
"Employee  40",18178.1861023046,17399.2988537066,-778.887248598039,FALSE
"Employee  41",16823.3405053616,16638.6734857224,-184.667019639164,FALSE
"Employee  42",16958.0618338659,20449.5292552747,3491.46742140874,TRUE
"Employee  43",15081.1032345518,23421.8270238489,8340.72378929704,TRUE
"Employee  44",14174.2067760788,23497.4189870991,9323.21221102029,TRUE
"Employee  45",14888.423604425,19843.7265073881,4955.30290296301,TRUE
"Employee  46",11310.2331664413,22775.9202406742,11465.6870742328,TRUE
"Employee  47",17179.8357181251,23796.9660456292,6617.13032750413,TRUE
"Employee  48",17379.7787260264,16099.4550865144,-1280.32363951206,FALSE
"Employee  49",11955.4269127548,18296.9498727471,6341.52295999229,TRUE
"Employee  50",18693.2423897088,17074.5300734416,-1618.71231626719,FALSE
"Employee  51",15409.9834850058,23424.1155046038,8014.13201959804,TRUE
"Employee  52",14024.223680608,15324.0041062236,1299.78042561561,TRUE
"Employee  53",17241.9774555601,24968.4604466893,7726.48299112916,TRUE
"Employee  54",11708.4959358908,18042.0937668532,6333.59783096239,TRUE
"Employee  55",11547.9877125472,16051.4732706361,4503.48555808887,TRUE
"Employee  56",14486.5590985864,19141.5380663238,4654.97896773741,TRUE
"Employee  57",16720.1254004613,17923.4843864106,1203.35898594931,TRUE
"Employee  58",11969.5169571787,15607.2034826502,3637.68652547151,TRUE
"Employee  59",18578.050096985,17596.5171633288,-981.532933656126,FALSE
"Employee  60",13661.9188333862,23719.8912515305,10057.9724181443,TRUE
"Employee  61",16737.2230743058,24210.7522743754,7473.52920006961,TRUE
"Employee  62",12703.7047618069,16406.2492456287,3702.54448382184,TRUE
"Employee  63",13125.3704614937,19483.1366254948,6357.76616400108,TRUE
"Employee  64",19386.6903381422,23480.6758351624,4093.98549702018,TRUE
"Employee  65",17893.2386264205,20734.6628396772,2841.42421325669,TRUE
"Employee  66",16096.9083243981,21595.2409687452,5498.3326443471,TRUE
"Employee  67",16248.2989719138,19468.023290392,3219.72431847826,TRUE
"Employee  68",12685.276386328,15128.5080821253,2443.23169579729,TRUE
"Employee  69",13921.7168744653,17630.2933646366,3708.57649017125,TRUE
"Employee  70",19804.2451078072,18090.3011583723,-1713.94394943491,FALSE
"Employee  71",10303.357897792,17749.9551465735,7446.59724878147,TRUE
"Employee  72",17340.3065255843,16832.0691282861,-508.237397298217,FALSE
"Employee  73",10071.6324243695,24917.8858986124,14846.253474243,TRUE
